recall@010,recall@020,ndcg@010,ndcg@020,accuracy@010,accuracy@020,precision@010,precision@020,f1@010,f1@020,mrr@010,mrr@020,phr@010,phr@020,user_id
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.246062505153789e-05,8.246062505153789e-05,0.0,0.0,0
1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.3,0.7499999999999999,0.4615384615384615,1.0,1.0,1.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.26377985290172e-05,8.26377985290172e-05,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.270614506655782e-05,8.270614506655782e-05,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.236553825868853e-05,8.236553825868853e-05,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25354902607156e-05,8.25354902607156e-05,0.0,0.0,5
1.0,1.0,0.99307831664176,0.99307831664176,1.0,1.0,0.6,0.3,0.7499999999999999,0.4615384615384615,0.9999999999999998,0.9999999999999998,1.0,1.0,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.278831029073785e-05,8.278831029073785e-05,0.0,0.0,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.280887711142881e-05,8.280887711142881e-05,0.0,0.0,8
0.5,0.5,0.3065735963827292,0.3065735963827292,0.5,0.5,0.10000000000000009,0.050000000000000044,0.16666666666666674,0.09090909090909094,0.3333333333333335,0.3333333333333335,1.0,1.0,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.26377985290172e-05,8.26377985290172e-05,0.0,0.0,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.23519723298638e-05,8.23519723298638e-05,0.0,0.0,11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.226390259968852e-05,8.226390259968852e-05,0.0,0.0,12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.216251745940539e-05,8.216251745940539e-05,0.0,0.0,13
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.19403474272562e-05,8.19403474272562e-05,0.0,0.0,14
